ResponseId,Age,EdLevel,Employment,WorkExp,YearsCode,DevType,OrgSize,ICorPM,RemoteWork,Industry,Country,LanguageHaveWorkedWith,DatabaseHaveWorkedWith,annual_salary_usd,max_reasonable_age
1,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,8.0,14.0,"Developer, mobile",20 to 99 employees,People manager,Remote,Fintech,Ukraine,Bash/Shell (all shells);Dart;SQL,Cloud Firestore;PostgreSQL,61256.0,34.0
10004,55-64 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,40.0,46.0,"Developer, full-stack","10,000 or more employees",Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Computer Systems Design and Services,Germany,C#;Java;SQL,H2;MariaDB;Neo4J;Oracle,99773.0,64.0
10016,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,2.0,5.0,"Developer, full-stack","10,000 or more employees",Individual contributor,Remote,Healthcare,United States of America,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,Microsoft SQL Server;MongoDB,85000.0,34.0
1002,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,17.0,18.0,"Developer, back-end",20 to 99 employees,Individual contributor,Remote,Fintech,Portugal,Bash/Shell (all shells);Lua;Rust;SQL;TypeScript,PostgreSQL;Clickhouse,145018.0,44.0
10030,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,20.0,25.0,"Developer, full-stack","1,000 to 4,999 employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Banking/Financial Services,Australia,C#;HTML/CSS;JavaScript;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;Oracle,100765.0,44.0
10053,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,20.0,25.0,"Senior executive (C-suite, VP, etc.)",20 to 99 employees,People manager,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,France,Bash/Shell (all shells);C;OCaml,None,232029.0,44.0
10055,45-54 years old,Some college/university study without earning a degree,Employed,28.0,28.0,"Developer, full-stack",20 to 99 employees,Individual contributor,Remote,Software Development,United States of America,C#;HTML/CSS;JavaScript;PowerShell;Python;R;SQL;TypeScript,Microsoft SQL Server;PostgreSQL;Redis,215000.0,54.0
10073,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,11.0,11.0,"Developer, full-stack","10,000 or more employees",People manager,In-person,Software Development,India,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript;VBA,MongoDB;MySQL;PostgreSQL,9299.0,34.0
10085,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,4.0,10.0,"Developer, full-stack","10,000 or more employees",Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)","Transportation, or Supply Chain",India,C#;Java;JavaScript;SQL,Microsoft SQL Server;PostgreSQL,20923.0,34.0
10090,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,3.0,10.0,"Developer, full-stack",20 to 99 employees,Individual contributor,In-person,Software Development,United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Lua;PowerShell;Python;Rust;TypeScript,Microsoft SQL Server;SQLite,34035.0,24.0
10097,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",13.0,20.0,"Developer, back-end",20 to 99 employees,Individual contributor,Remote,"Internet, Telecomm or Information Services",Slovakia,C#;HTML/CSS;JavaScript;TypeScript,Oracle;PostgreSQL;SQLite,90491.0,34.0
10100,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,2.0,6.0,"Developer, full-stack",20 to 99 employees,Individual contributor,Remote,Other:,Poland,Bash/Shell (all shells);Elixir;Go;HTML/CSS;JavaScript;Lua;TypeScript,PostgreSQL,26198.0,24.0
1011,35-44 years old,Some college/university study without earning a degree,"Independent contractor, freelancer, or self-employed",15.0,15.0,"Developer, desktop or enterprise applications",20 to 99 employees,Individual contributor,Remote,Software Development,Pakistan,Bash/Shell (all shells);C;C#;HTML/CSS;Java;JavaScript;SQL,Microsoft SQL Server;MySQL;PostgreSQL;SQLite,6000.0,44.0
10137,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,8.0,5.0,"Developer, desktop or enterprise applications",20 to 99 employees,Individual contributor,In-person,Other:,United Kingdom of Great Britain and Northern Ireland,C#;HTML/CSS;JavaScript;Python;SQL;Swift,Microsoft SQL Server,36758.0,34.0
10138,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,14.0,21.0,"Developer, back-end",100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,Hungary,HTML/CSS;JavaScript;PHP;PowerShell;SQL,BigQuery;MySQL;PostgreSQL;Redis;SQLite,52050.0,44.0
1015,65 years or older,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",28.0,35.0,"Developer, back-end",20 to 99 employees,Individual contributor,Remote,Healthcare,Canada,C++,None,145917.0,
10151,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,4.0,7.0,DevOps engineer or professional,20 to 99 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,Belgium,Bash/Shell (all shells);C#;Dart;HTML/CSS;JavaScript;Lua;PowerShell;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;SQLite,51511.0,34.0
10164,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,12.0,17.0,"Developer, embedded applications or devices",100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Government,United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL,Microsoft SQL Server;PostgreSQL,98158.0,34.0
10178,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,5.0,12.0,"Developer, full-stack",100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,France,Go;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,BigQuery;Elasticsearch;MongoDB;MySQL,55687.0,34.0
10192,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,26.0,40.0,Data scientist,"10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,Netherlands,Bash/Shell (all shells);C#;C++;Python;SQL;Visual Basic (.Net),Microsoft SQL Server;SQLite,89868.0,54.0
1020,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,1.0,2.0,"Developer, desktop or enterprise applications",100 to 499 employees,Individual contributor,In-person,Software Development,Russian Federation,Java;SQL,Oracle;PostgreSQL,19139.0,34.0
10224,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,30.0,40.0,"Developer, front-end",20 to 99 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,Germany,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;Python;TypeScript,MariaDB;MongoDB;Redis;SQLite,76570.0,54.0
10237,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",12.0,15.0,"Developer, back-end",100 to 499 employees,Individual contributor,Remote,Software Development,Brazil,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Rust;SQL;TypeScript,PostgreSQL;Redis,66128.0,34.0
10244,55-64 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,29.0,34.0,"Developer, desktop or enterprise applications","1,000 to 4,999 employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Retail and Consumer Services,Germany,C#,Microsoft SQL Server,99773.0,64.0
10246,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,10.0,10.0,"Developer, full-stack","10,000 or more employees",Individual contributor,Remote,Other:,United Kingdom of Great Britain and Northern Ireland,C#;HTML/CSS;JavaScript;Python;TypeScript,Dynamodb;Snowflake,149756.0,34.0
10280,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",13.0,15.0,"Developer, mobile",20 to 99 employees,Individual contributor,Remote,Retail and Consumer Services,Spain,Go;HTML/CSS;JavaScript;Kotlin;PHP;SQL;Swift;TypeScript,None,127616.0,34.0
10282,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,2.0,10.0,"Developer, mobile",100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Government,United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);Groovy;Java;Kotlin;Python;SQL,SQLite,61264.0,24.0
10287,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Not employed,7.0,8.0,"Developer, back-end",20 to 99 employees,Individual contributor,Remote,Software Development,"Iran, Islamic Republic of...",Go;Java,Cassandra;Elasticsearch;H2;MySQL;Redis,7122.0,34.0
10308,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,5.0,9.0,"Developer, full-stack",Less than 20 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,Germany,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript;VBA,MariaDB;MongoDB;MySQL;Redis;SQLite;Valkey,39445.0,34.0
10317,45-54 years old,Other (please specify):,Employed,15.0,20.0,"Developer, full-stack",Less than 20 employees,Individual contributor,Remote,Software Development,Germany,HTML/CSS;JavaScript;PowerShell,None,51046.0,54.0
10328,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,16.0,20.0,"Developer, game or graphics",100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,Sweden,C;C#;C++;Rust,None,78616.0,44.0
10332,35-44 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Independent contractor, freelancer, or self-employed",24.0,28.0,"Developer, back-end",20 to 99 employees,Individual contributor,Remote,"Transportation, or Supply Chain",Austria,C#;SQL,Microsoft SQL Server,185623.0,44.0
10340,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,3.0,7.0,"Developer, full-stack",20 to 99 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,Other,HTML/CSS;Java;JavaScript;SQL;TypeScript,Elasticsearch;PostgreSQL,121570.0,34.0
10344,35-44 years old,Other (please specify):,Employed,16.0,21.0,"Developer, full-stack",100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Government,Germany,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,MariaDB;Microsoft Access;MongoDB;MySQL,72672.0,44.0
1035,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,4.0,4.0,"Developer, full-stack","10,000 or more employees",Individual contributor,In-person,Software Development,Philippines,HTML/CSS;Java;JavaScript;PHP;TypeScript,MongoDB;MySQL;PostgreSQL,13169.0,24.0
10356,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Not employed,20.0,30.0,"Developer, back-end",20 to 99 employees,Individual contributor,Remote,Software Development,Hungary,Bash/Shell (all shells);JavaScript;Kotlin;Python;Rust;SQL;TypeScript,Cassandra;PostgreSQL;SQLite,156149.0,44.0
10359,55-64 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",39.0,43.0,"Developer, full-stack",20 to 99 employees,Individual contributor,Remote,Healthcare,Ireland,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Microsoft Access;Microsoft SQL Server,116015.0,64.0
1038,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,25.0,30.0,Data engineer,"5,000 to 9,999 employees",Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Retail and Consumer Services,Germany,Bash/Shell (all shells);C;HTML/CSS;Python;Scala;SQL,BigQuery;Databricks SQL;MariaDB;PostgreSQL;Amazon Redshift,139218.0,54.0
